
Data;Hora;Temperatura;Umidade
2022/9/5;9:32:36;2022/9/5;9:32:48;29.40;51.00

Data;Hora;Temperatura;Umidade
2022/9/5;10:36:4;29.40;48.00
2022/9/5;10:36:14;29.40;48.00
2022/9/5;10:36:25;29.40;48.00
2022/9/5;10:36:36;29.40;48.00
2022/9/5;10:36:46;29.40;48.00
2022/9/5;10:36:57;29.40;48.00
2022/9/5;10:37:8;29.40;48.00
2022/9/5;10:37:18;29.40;48.00
2022/9/5;10:37:29;29.40;48.00
2022/9/5;10:37:40;29.40;47.00
2022/9/5;10:37:50;29.40;47.00
2022/9/5;10:38:1;29.40;47.00
2022/9/5;10:38:12;29.40;48.00
2022/9/5;10:38:22;29.40;48.00
2022/9/5;10:38:33;29.40;47.00
2022/9/5;10:38:44;29.30;47.00
2022/9/5;10:38:54;29.40;47.00
2022/9/5;10:39:5;29.40;47.00
2022/9/5;10:39:16;29.40;47.00
2022/9/5;10:39:26;29.40;47.00
2022/9/5;10:39:37;29.40;47.00
2022/9/5;10:39:48;29.40;47.00
2022/9/5;10:39:58;29.30;47.00
2022/9/5;10:40:9;29.30;47.00
2022/9/5;10:40:20;29.40;47.00
2022/9/5;10:40:30;29.40;47.00
2022/9/5;10:40:41;29.30;47.00
2022/9/5;10:40:52;29.30;47.00
2022/9/5;10:41:2;29.30;47.00
2022/9/5;10:41:13;29.40;47.00
2022/9/5;10:41:24;29.40;47.00
2022/9/5;10:41:34;29.40;47.00
2022/9/5;10:41:45;29.40;47.00
2022/9/5;10:41:56;29.40;47.00
2022/9/5;10:42:6;29.40;47.00
2022/9/5;10:42:17;29.40;47.00
2022/9/5;10:42:28;29.40;47.00
2022/9/5;10:42:38;29.40;47.00
2022/9/5;10:42:49;29.40;47.00
2022/9/5;10:43:0;29.40;47.00
2022/9/5;10:43:10;29.40;47.00
2022/9/5;10:43:21;29.40;47.00
2022/9/5;10:43:32;29.40;47.00
2022/9/5;10:43:42;29.40;47.00
2022/9/5;10:43:53;29.40;47.00
2022/9/5;10:44:4;29.30;47.00
2022/9/5;10:44:14;29.30;47.00
2022/9/5;10:44:25;29.40;47.00
2022/9/5;10:44:36;29.30;47.00
2022/9/5;10:44:46;29.30;47.00
2022/9/5;10:44:57;29.30;47.00
2022/9/5;10:45:8;29.30;47.00
2022/9/5;10:45:18;29.30;47.00
2022/9/5;10:45:29;29.30;47.00
2022/9/5;10:45:40;29.30;47.00
2022/9/5;10:45:50;29.30;47.00
2022/9/5;10:46:1;29.30;47.00
2022/9/5;10:46:12;29.30;47.00
2022/9/5;10:46:22;29.30;47.00
2022/9/5;10:46:33;29.40;48.00
2022/9/5;10:46:44;29.30;47.00
2022/9/5;10:46:54;29.40;47.00
2022/9/5;10:47:5;29.30;47.00
2022/9/5;10:47:16;29.30;47.00
2022/9/5;10:47:26;29.40;47.00
2022/9/5;10:47:37;29.30;47.00
2022/9/5;10:47:48;29.40;47.00
2022/9/5;10:47:58;29.40;47.00
2022/9/5;10:48:9;29.40;47.00
2022/9/5;10:48:20;29.40;47.00
2022/9/5;10:48:30;29.40;47.00
2022/9/5;10:48:41;29.30;47.00
2022/9/5;10:48:52;29.30;47.00
2022/9/5;10:49:2;29.30;48.00
2022/9/5;10:49:13;29.30;47.00
2022/9/5;10:49:24;29.30;48.00
2022/9/5;10:49:34;29.30;47.00
2022/9/5;10:49:45;29.30;48.00
2022/9/5;10:49:56;29.40;47.00
2022/9/5;10:50:6;29.30;47.00
2022/9/5;10:50:17;29.30;47.00
2022/9/5;10:50:28;29.40;47.00
2022/9/5;10:50:38;29.30;47.00
2022/9/5;10:50:49;29.30;47.00
2022/9/5;10:51:0;29.30;47.00
2022/9/5;10:51:10;29.30;47.00
2022/9/5;10:51:21;29.40;47.00
2022/9/5;10:51:32;29.40;47.00
2022/9/5;10:51:42;29.30;47.00
2022/9/5;10:51:53;29.40;47.00
2022/9/5;10:52:4;29.40;47.00
2022/9/5;10:52:14;29.30;47.00
2022/9/5;10:52:25;29.30;47.00
2022/9/5;10:52:36;29.30;47.00
2022/9/5;10:52:46;29.30;47.00
2022/9/5;10:52:57;29.30;47.00
2022/9/5;10:53:8;29.30;47.00
2022/9/5;10:53:18;29.30;47.00
2022/9/5;10:53:29;29.30;47.00
2022/9/5;10:53:40;29.30;47.00
2022/9/5;10:53:50;29.30;47.00
2022/9/5;10:54:1;29.30;47.00
2022/9/5;10:54:12;29.30;47.00
2022/9/5;10:54:22;29.30;47.00
2022/9/5;10:54:33;29.30;47.00
2022/9/5;10:54:44;29.30;47.00
2022/9/5;10:54:54;29.30;47.00
2022/9/5;10:55:5;29.30;47.00
2022/9/5;10:55:16;29.30;47.00
2022/9/5;10:55:26;29.30;47.00
2022/9/5;10:55:37;29.30;47.00
2022/9/5;10:55:48;29.30;47.00
2022/9/5;10:55:58;29.30;47.00
2022/9/5;10:56:9;29.30;47.00
2022/9/5;10:56:20;29.20;47.00
2022/9/5;10:56:30;29.20;47.00
2022/9/5;10:56:41;29.30;47.00
2022/9/5;10:56:52;29.30;47.00
2022/9/5;10:57:2;29.30;47.00
2022/9/5;10:57:13;29.30;47.00
2022/9/5;10:57:23;29.30;47.00
2022/9/5;10:57:34;29.30;47.00
2022/9/5;10:57:45;29.30;47.00
2022/9/5;10:57:56;29.30;47.00
2022/9/5;10:58:6;29.30;47.00
2022/9/5;10:58:17;29.30;47.00
2022/9/5;10:58:28;29.30;47.00
2022/9/5;10:58:38;29.30;47.00
2022/9/5;10:58:49;29.30;47.00
2022/9/5;10:59:0;29.30;47.00
2022/9/5;10:59:10;29.30;47.00
2022/9/5;10:59:21;29.30;47.00
2022/9/5;10:59:31;29.30;47.00
2022/9/5;10:59:42;29.30;47.00
2022/9/5;10:59:53;29.30;47.00
2022/9/5;11:0:3;29.30;47.00
2022/9/5;11:0:14;29.30;47.00
2022/9/5;11:0:25;29.30;47.00
2022/9/5;11:0:35;29.30;47.00
2022/9/5;11:0:46;29.30;47.00
2022/9/5;11:0:57;29.30;47.00
2022/9/5;11:1:7;29.30;47.00
2022/9/5;11:1:18;29.30;46.00
2022/9/5;11:1:29;29.40;46.00
2022/9/5;11:1:39;29.40;46.00
2022/9/5;11:1:50;29.40;46.00
2022/9/5;11:2:1;29.40;46.00
2022/9/5;11:2:11;29.40;46.00
2022/9/5;11:2:22;29.40;46.00
2022/9/5;11:2:33;29.40;46.00
2022/9/5;11:2:43;29.40;46.00
2022/9/5;11:2:54;29.40;46.00
2022/9/5;11:3:5;29.40;46.00
2022/9/5;11:3:15;29.40;46.00
2022/9/5;11:3:26;29.40;46.00
2022/9/5;11:3:37;29.40;46.00
