Date,Time,Temperatura ºC
2022/8/31,18:24:45;25.00;58.00
2022/8/31,18:24:56;25.00;58.00
2022/8/31,18:25:6;25.10;58.00
2022/8/31,18:25:17;25.10;57.00
Date,Time,Temperatura ºC
2022/8/31,18:24:45;25.10;57.00
2022/9/1;9:51:25;26.40;57.00
2022/9/1;9:51:36;26.40;57.00
2022/9/1;9:51:46;26.40;57.00
2022/9/1;9:51:57;26.60;57.00
2022/9/1;9:52:8;26.60;57.00
2022/9/1;9:52:18;26.60;57.00
2022/9/1;9:52:29;26.60;57.00
2022/9/1;9:52:40;26.60;57.00
2022/9/1;9:52:50;26.60;57.00
2022/9/1;9:53:1;26.60;57.00
2022/9/1;9:53:12;26.60;57.00
2022/9/1;9:53:22;26.60;57.00
2022/9/1;9:53:33;26.60;57.00
2022/9/1;9:53:44;26.60;57.00
2022/9/1;9:53:54;26.70;56.00
2022/9/1;9:54:5;26.70;56.00
2022/9/1;9:54:16;26.70;56.00
2022/9/1;9:54:26;26.70;56.00
2022/9/1;9:54:37;26.70;56.00
2022/9/1;9:54:48;26.70;56.00
2022/9/1;9:54:58;26.70;56.00
2022/9/1;9:55:9;26.70;56.00
2022/9/1;9:55:20;26.80;56.00
2022/9/1;9:55:30;26.80;56.00
2022/9/1;9:55:41;26.80;56.00
2022/9/1;9:55:52;26.90;56.00
2022/9/1;9:56:2;26.90;56.00
2022/9/1;9:56:13;26.90;56.00
2022/9/1;9:56:24;26.90;56.00
2022/9/1;9:56:34;26.90;56.00
2022/9/1;9:56:45;26.90;56.00
2022/9/1;9:56:56;26.90;56.00
2022/9/1;9:57:6;26.90;56.00
2022/9/1;9:57:17;26.90;56.00
2022/9/1;9:57:28;26.90;56.00
2022/9/1;9:57:38;26.90;56.00
2022/9/1;9:57:49;26.90;56.00
2022/9/1;9:58:0;26.90;56.00
2022/9/1;9:58:10;26.90;56.00
2022/9/1;9:58:21;26.90;56.00
2022/9/1;9:58:32;26.90;56.00
2022/9/1;9:58:42;26.90;56.00
2022/9/1;9:58:53;26.70;56.00
2022/9/1;9:59:4;26.80;56.00
2000/3/148;0:1:0;26.70;56.00
2000/3/148;0:1:0;26.70;56.00
2022/9/1;9:59:36;26.70;56.00
2000/3/148;0:1:0;26.70;56.00
2000/3/148;0:1:0;26.60;56.00
2000/3/148;0:1:0;26.60;56.00
2000/3/148;0:1:0;26.60;56.00
2000/3/148;0:1:0;26.60;57.00
2000/3/148;0:1:0;26.40;57.00
2000/3/148;0:1:0;26.30;57.00
2000/3/148;0:1:0;26.40;57.00
2000/3/148;0:1:0;26.40;57.00
2000/3/148;0:1:0;26.40;57.00
2000/3/148;0:1:0;26.40;57.00
2000/3/148;0:1:0;26.40;57.00
2000/3/148;0:1:0;26.40;57.00
2000/3/148;0:1:0;26.40;57.00
2000/3/148;0:1:0;26.40;57.00
2000/3/148;0:1:0;26.30;57.00
2000/3/148;0:1:0;26.30;57.00
2000/3/148;0:1:0;26.30;57.00
2000/3/148;0:1:0;26.40;57.00
2000/3/148;0:1:0;26.40;57.00
2000/3/148;0:1:0;26.30;57.00
2000/3/148;0:1:0;26.40;57.00
2022/9/1;10:3:41;26.40;57.00
2000/3/148;0:1:0;26.30;57.00
2022/9/1;10:4:2;26.40;57.00
2022/9/1;10:4:13;26.40;57.00
2022/9/1;10:4:24;26.40;57.00
2022/9/1;10:4:34;26.40;57.00
2022/9/1;10:4:45;26.30;57.00
2022/9/1;10:4:56;26.30;57.00
2022/9/1;10:5:6;26.20;57.00
2022/9/1;10:5:17;26.20;58.00
2022/9/1;10:5:28;26.20;58.00
2022/9/1;10:5:38;26.20;58.00
2022/9/1;10:5:49;26.20;58.00
2022/9/1;10:6:0;26.20;58.00
2022/9/1;10:6:10;26.20;58.00
2022/9/1;10:6:21;26.20;58.00
2022/9/1;10:6:32;26.20;58.00
2022/9/1;10:6:42;26.20;58.00
2022/9/1;10:6:53;26.10;58.00
2022/9/1;10:7:4;26.10;58.00
2022/9/1;10:7:14;26.00;58.00
2022/9/1;10:7:25;26.10;58.00
2022/9/1;10:7:36;26.00;58.00
2022/9/1;10:7:46;26.10;58.00
2022/9/1;10:7:57;26.10;58.00
2022/9/1;10:8:8;26.10;58.00
2022/9/1;10:8:18;26.10;58.00
2022/9/1;10:8:29;26.20;58.00
2022/9/1;10:8:40;26.20;58.00
2022/9/1;10:8:50;26.20;58.00
2022/9/1;10:9:1;26.20;58.00
2022/9/1;10:9:12;26.20;58.00
2022/9/1;10:9:22;26.20;58.00
2022/9/1;10:9:33;26.20;58.00
2022/9/1;10:9:44;26.20;58.00
2022/9/1;10:9:54;26.20;58.00
2022/9/1;10:10:5;26.20;58.00
2022/9/1;10:10:16;26.30;58.00
2022/9/1;10:10:26;26.30;58.00
2022/9/1;10:10:37;26.30;58.00
2022/9/1;10:10:48;26.30;58.00
2022/9/1;10:10:58;26.30;58.00
2022/9/1;10:11:9;26.30;57.00
2022/9/1;10:11:20;26.30;57.00
2022/9/1;10:11:30;26.30;57.00
2022/9/1;10:11:41;26.30;57.00
2000/3/148;0:1:0;26.30;57.00
2022/9/1;10:12:2;26.30;57.00
2022/9/1;10:12:13;26.30;57.00
2022/9/1;10:12:24;26.30;57.00
2022/9/1;10:12:34;26.30;57.00
2022/9/1;10:12:45;26.30;57.00
2022/9/1;10:12:56;26.30;57.00
