
Data;Hora;Temperatura;Umidade
2022/9/2;12:8:8;27.20;61.00
2022/9/2;12:8:19;27.20;61.00
2022/9/2;12:8:29;27.20;61.00
2022/9/2;12:8:40;27.20;61.00
2022/9/2;12:8:51;27.20;61.00
2022/9/2;12:9:1;27.20;61.00
2022/9/2;12:9:12;27.20;61.00
2022/9/2;12:9:23;27.20;61.00
2022/9/2;12:9:33;27.20;61.00
2022/9/2;12:9:44;27.20;60.00
2022/9/2;12:9:55;27.20;60.00
2022/9/2;12:10:5;27.20;60.00
2022/9/2;12:10:16;27.20;60.00
2022/9/2;12:10:27;27.20;61.00
2022/9/2;12:10:37;27.20;61.00
2022/9/2;12:10:48;27.20;61.00
2022/9/2;12:10:59;27.20;61.00
2022/9/2;12:11:9;27.20;61.00
2022/9/2;12:11:20;27.20;61.00
2022/9/2;12:11:31;27.20;61.00
2022/9/2;12:11:41;27.20;61.00
2022/9/2;12:11:52;27.10;61.00
2022/9/2;12:12:3;27.10;61.00
2022/9/2;12:12:13;27.10;61.00
2022/9/2;12:12:24;27.20;61.00
2022/9/2;12:12:35;27.10;61.00
2022/9/2;12:12:45;27.10;61.00
2022/9/2;12:12:56;27.20;61.00
2022/9/2;12:13:7;27.10;61.00
2022/9/2;12:13:17;27.10;61.00
2022/9/2;12:13:28;27.10;61.00
2022/9/2;12:13:39;27.10;61.00
2022/9/2;12:13:49;27.10;61.00
2022/9/2;12:14:0;27.10;61.00
2022/9/2;12:14:11;27.10;61.00
2022/9/2;12:14:21;27.20;61.00
2022/9/2;12:14:32;27.10;61.00
2022/9/2;12:14:43;27.10;61.00
2022/9/2;12:14:53;27.20;61.00
2022/9/2;12:15:4;27.10;61.00
2022/9/2;12:15:15;27.10;61.00
2022/9/2;12:15:25;27.10;61.00
2022/9/2;12:15:36;27.10;61.00
2022/9/2;12:15:47;27.10;61.00
2022/9/2;12:15:57;27.10;61.00
2022/9/2;12:16:8;27.10;61.00
2022/9/2;12:16:19;27.10;61.00
2022/9/2;12:16:29;27.20;61.00
2022/9/2;12:16:40;27.20;61.00
2022/9/2;12:16:51;27.20;61.00
2022/9/2;12:17:1;27.20;61.00
2022/9/2;12:17:12;27.20;61.00
2022/9/2;12:17:23;27.20;61.00
2022/9/2;12:17:33;27.10;61.00
2022/9/2;12:17:44;27.10;61.00
2022/9/2;12:17:55;27.10;61.00
2022/9/2;12:18:5;27.10;61.00
2022/9/2;12:18:16;27.10;61.00
2022/9/2;12:18:27;27.10;61.00
2022/9/2;12:18:37;27.10;61.00
2022/9/2;12:18:48;27.20;61.00
2022/9/2;12:18:59;27.10;61.00
2022/9/2;12:19:9;27.10;61.00
